4,0,1710
5,0,6002090
3,0,14001795
2,0,4001907
0,0,1782
1,0,5002125
5,1,1002119
3,1,1646
4,1,3001843
0,1,3001881
2,1,1531
1,1,1001871
0,2,1593
3,2,1743
5,2,1974
4,2,1727
2,2,2001718
1,2,1735
0,3,1741
5,3,1001861
3,3,1875
4,3,1867
1,3,2001866
2,3,1487
0,4,1638
3,4,1672
1,4,1535
4,4,1487
2,4,1714
5,4,1589
4,5,1750
0,5,1605
3,5,1001706
1,5,1691
2,5,1523
5,5,1566
4,6,1660
0,6,1621
3,6,1438
2,6,1672
5,6,1895
1,6,1510
4,7,1441
3,7,1624
2,7,1681
0,7,1808
1,7,1579
5,7,1747
3,8,1522
2,8,1521
4,8,1543
0,8,1679
1,8,1552
5,8,1696
4,9,1629
3,9,1674
2,9,1479
0,9,1645
5,9,1619
1,9,1574
6,0,1642
7,0,3001753
8,0,3001511
9,0,1001684
6,1,1840
7,1,2001963
8,1,1871
9,1,1926
8,2,1736
6,2,2001874
7,2,1880
9,2,1808
6,3,1826
8,3,2001865
7,3,1691
9,3,1668
8,4,1786
6,4,1001628
7,4,1667
9,4,1500
8,5,1868
9,5,1642
6,5,1431
7,5,1726
8,6,1649
9,6,1539
6,6,1659
7,6,1639
8,7,1535
9,7,1647
6,7,1502
7,7,1725
8,8,1554
9,8,1855
7,8,1638
6,8,1434
8,9,1722
9,9,1635
6,9,1459
7,9,1584
