temperature,iterations,malus_avg
0.1,10,-1931.6666666666667
0.1,11,-1925.0666666666666
0.1,12,-1963.2
0.1,13,-1862.6
0.1,14,-1904.4666666666667
0.1,15,-1881.2666666666667
0.1,16,-1931.2
0.1,17,-1861.0
0.1,18,-1907.9333333333334
0.1,19,-1829.0
0.1,20,-1853.4666666666667
0.1,21,-1902.8
0.1,22,-1873.6
0.1,23,-1849.6666666666667
0.1,24,-1794.2666666666667
0.1,25,-1862.0
0.1,26,-1837.0
0.1,27,-1818.8666666666666
0.1,28,-1838.5333333333333
0.1,29,-1849.5333333333333
0.1,30,-1842.2
0.1,31,-1813.9333333333334
0.1,32,-1801.6
0.1,33,-1819.0666666666666
0.1,34,-1821.8666666666666
0.1,35,-1758.5333333333333
0.1,36,-1788.1333333333334
0.1,37,-1779.3333333333333
0.1,38,-1781.1333333333334
0.1,39,-1796.8666666666666
0.30000000000000004,10,-1871.8666666666666
0.30000000000000004,11,-1906.0
0.30000000000000004,12,-1892.9333333333334
0.30000000000000004,13,-1881.4666666666667
0.30000000000000004,14,-1907.1333333333334
0.30000000000000004,15,-1846.8666666666666
0.30000000000000004,16,-1871.9333333333334
0.30000000000000004,17,-1902.1333333333334
0.30000000000000004,18,-1962.5333333333333
0.30000000000000004,19,-1861.5333333333333
0.30000000000000004,20,-1935.2666666666667
0.30000000000000004,21,-1805.8
0.30000000000000004,22,-1902.2666666666667
0.30000000000000004,23,-1846.1333333333334
0.30000000000000004,24,-1846.8
0.30000000000000004,25,-1865.6
0.30000000000000004,26,-1943.8
0.30000000000000004,27,-1905.8666666666666
0.30000000000000004,28,-1868.2666666666667
0.30000000000000004,29,-1934.4
0.30000000000000004,30,-1824.4
0.30000000000000004,31,-1900.7333333333333
0.30000000000000004,32,-1895.3333333333333
0.30000000000000004,33,-1879.2
0.30000000000000004,34,-1883.2666666666667
0.30000000000000004,35,-1829.0
0.30000000000000004,36,-1868.2
0.30000000000000004,37,-1856.2666666666667
0.30000000000000004,38,-1865.0
0.30000000000000004,39,-1854.6666666666667
0.5000000000000001,10,-1969.1333333333334
0.5000000000000001,11,-1917.7333333333333
0.5000000000000001,12,-1876.2666666666667
0.5000000000000001,13,-1909.4666666666667
0.5000000000000001,14,-1928.5333333333333
0.5000000000000001,15,-1920.0666666666666
0.5000000000000001,16,-1931.2666666666667
0.5000000000000001,17,-1859.5333333333333
0.5000000000000001,18,-1931.1333333333334
0.5000000000000001,19,-1932.9333333333334
0.5000000000000001,20,-1860.9333333333334
0.5000000000000001,21,-1976.9333333333334
0.5000000000000001,22,-1859.2
0.5000000000000001,23,-1910.6
0.5000000000000001,24,-1965.1333333333334
0.5000000000000001,25,-1879.7333333333333
0.5000000000000001,26,-1901.6666666666667
0.5000000000000001,27,-1883.2
0.5000000000000001,28,-1852.6
0.5000000000000001,29,-1869.4
0.5000000000000001,30,-1874.0666666666666
0.5000000000000001,31,-1843.6666666666667
0.5000000000000001,32,-1910.8666666666666
0.5000000000000001,33,-1838.0
0.5000000000000001,34,-1904.6666666666667
0.5000000000000001,35,-1827.8
0.5000000000000001,36,-1924.6
0.5000000000000001,37,-1849.8
0.5000000000000001,38,-1865.6
0.5000000000000001,39,-1911.2
0.7000000000000001,10,-1930.2666666666667
0.7000000000000001,11,-1949.6
0.7000000000000001,12,-1943.7333333333333
0.7000000000000001,13,-1975.1333333333334
0.7000000000000001,14,-1958.4666666666667
0.7000000000000001,15,-1892.2666666666667
0.7000000000000001,16,-1903.0666666666666
0.7000000000000001,17,-1956.8666666666666
0.7000000000000001,18,-1891.8666666666666
0.7000000000000001,19,-1918.0
0.7000000000000001,20,-1935.2
0.7000000000000001,21,-1882.2666666666667
0.7000000000000001,22,-1967.9333333333334
0.7000000000000001,23,-1886.4
0.7000000000000001,24,-1894.1333333333334
0.7000000000000001,25,-1910.0
0.7000000000000001,26,-1924.5333333333333
0.7000000000000001,27,-1972.1333333333334
0.7000000000000001,28,-1892.4
0.7000000000000001,29,-1919.6
0.7000000000000001,30,-1870.9333333333334
0.7000000000000001,31,-1897.3333333333333
0.7000000000000001,32,-1895.7333333333333
0.7000000000000001,33,-1890.1333333333334
0.7000000000000001,34,-1960.4666666666667
0.7000000000000001,35,-1942.1333333333334
0.7000000000000001,36,-1877.5333333333333
0.7000000000000001,37,-1899.9333333333334
0.7000000000000001,38,-1847.2666666666667
0.7000000000000001,39,-1974.6666666666667
0.9000000000000001,10,-1971.6
0.9000000000000001,11,-1985.4666666666667
0.9000000000000001,12,-1954.1333333333334
0.9000000000000001,13,-1931.7333333333333
0.9000000000000001,14,-1939.5333333333333
0.9000000000000001,15,-2004.5333333333333
0.9000000000000001,16,-1929.3333333333333
0.9000000000000001,17,-1909.2
0.9000000000000001,18,-1830.6
0.9000000000000001,19,-1945.5333333333333
0.9000000000000001,20,-1977.2666666666667
0.9000000000000001,21,-1919.2
0.9000000000000001,22,-1972.6
0.9000000000000001,23,-1971.6
0.9000000000000001,24,-1977.6
0.9000000000000001,25,-1962.6
0.9000000000000001,26,-1935.2
0.9000000000000001,27,-1920.6
0.9000000000000001,28,-1877.5333333333333
0.9000000000000001,29,-1902.6
0.9000000000000001,30,-1958.1333333333334
0.9000000000000001,31,-1940.0666666666666
0.9000000000000001,32,-1850.6
0.9000000000000001,33,-1912.4666666666667
0.9000000000000001,34,-1905.3333333333333
0.9000000000000001,35,-1914.2666666666667
0.9000000000000001,36,-1828.5333333333333
0.9000000000000001,37,-1910.3333333333333
0.9000000000000001,38,-1875.0666666666666
