;;;;;;;1;2;3;4;5;6;7;8;9;10;4;8;12;16;20;24;28;32;36;40
;;;;;;7;100;129;101;103;104;87;112;101;126;112;123;111,2;119;118,4;117;114;122,6;120,8;118,8;119,4
;;;;;;7;115;116;132;119;116;103;110;127;92;121;114,8;113,4;110,2;115,2;122,8;124;121,8;121;122,2;121,2
;;;;;;7;117;92;139;107;133;92;116;113;140;128;124,8;110,6;109,6;121,6;113;119,8;124,6;117,4;123;116,2
;;;;;;7;117;103;123;140;102;123;137;144;112;112;110,4;109,2;116;118;123,4;116,8;119,6;126,2;126,4;115,8
;;;;;;7;109;127;116;113;105;122;112;111;117;96;119,6;112,2;124,4;111,4;113,4;128,8;129,8;117,2;118,6;117,4
;;;;;;7;125;123;124;102;132;130;119;123;108;119;106,2;123,6;115;110,8;119,6;120,2;132,4;123,2;126,4;134,8
;;;;;;7;133;109;115;128;93;109;117;123;124;123;122,6;112,8;115,4;121;122,8;117,4;110;115,8;124,8;120,2
;;;;;;7;110;103;124;102;99;111;129;88;109;119;124,4;118;120,4;116;115,8;118;121,8;129;122,6;121
;;;;;;7;101;123;136;106;125;101;114;114;97;115;120,4;117,2;111;118,8;113,6;117,4;108,6;115,4;122,2;118,2
;;;;;;7;128;114;108;114;116;83;126;101;115;103;113,6;112,2;119,2;109;117,4;115,8;118,6;115,8;123;123,2
;;;;;;;115,5;113,9;121,8;113,4;112,5;106,1;119,2;114,5;114;114,8;117,98;114,04;116,02;116,02;117,88;119,22;120,98;120,18;122,8;120,74
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;4;8;12;16;20;24;28;32;36;40;;;;;;;;;;;;;;;;
7;123;111,2;119;118,4;117;114;122,6;120,8;118,8;119,4;118,42;;;;;;;;;;;;;;;
7;114,8;113,4;110,2;115,2;122,8;124;121,8;121;122,2;121,2;118,66;;;;;;;;;;;;;;;
7;124,8;110,6;109,6;121,6;113;119,8;124,6;117,4;123;116,2;118,06;;;;;;;;;;;;;;;
7;110,4;109,2;116;118;123,4;116,8;119,6;126,2;126,4;115,8;118,18;;;;;;;;;;;;;;;
7;119,6;112,2;124,4;111,4;113,4;128,8;129,8;117,2;118,6;117,4;119,28;;;;;;;;;;;;;;;
7;106,2;123,6;115;110,8;119,6;120,2;132,4;123,2;126,4;134,8;121,22;;;;;;;;;;;;;;;
7;122,6;112,8;115,4;121;122,8;117,4;110;115,8;124,8;120,2;118,28;;;;;;;;;;;;;;;
7;124,4;118;120,4;116;115,8;118;121,8;129;122,6;121;120,7;;;;;;;;;;;;;;;
7;120,4;117,2;111;118,8;113,6;117,4;108,6;115,4;122,2;118,2;116,28;;;;;;;;;;;;;;;
7;113,6;112,2;119,2;109;117,4;115,8;118,6;115,8;123;123,2;116,78;;;;;;;;;;;;;;;
;117,98;114,04;116,02;116,02;117,88;119,22;120,98;120,18;122,8;120,74;;;;;;;;;;;;;;;;
