7,1,100
7,2,129
7,3,101
7,4,103
7,5,104
7,6,87
7,7,112
7,8,101
7,9,126
7,10,112
7,1,115
7,2,116
7,3,132
7,4,119
7,5,116
7,6,103
7,7,110
7,8,127
7,9,92
7,10,121
7,1,117
7,2,92
7,3,139
7,4,107
7,5,133
7,6,92
7,7,116
7,8,113
7,9,140
7,10,128
7,1,117
7,2,103
7,3,123
7,4,140
7,5,102
7,6,123
7,7,137
7,8,144
7,9,112
7,10,112
7,1,109
7,2,127
7,3,116
7,4,113
7,5,105
7,6,122
7,7,112
7,8,111
7,9,117
7,10,96
7,1,125
7,2,123
7,3,124
7,4,102
7,5,132
7,6,130
7,7,119
7,8,123
7,9,108
7,10,119
7,1,133
7,2,109
7,3,115
7,4,128
7,5,93
7,6,109
7,7,117
7,8,123
7,9,124
7,10,123
7,1,110
7,2,103
7,3,124
7,4,102
7,5,99
7,6,111
7,7,129
7,8,88
7,9,109
7,10,119
7,1,101
7,2,123
7,3,136
7,4,106
7,5,125
7,6,101
7,7,114
7,8,114
7,9,97
7,10,115
7,1,128
7,2,114
7,3,108
7,4,114
7,5,116
7,6,83
7,7,126
7,8,101
7,9,115
7,10,103
