malusscore,time
1001894,0.0
1334,0.16507339477539062
1074,0.3101980686187744
948,0.4644143581390381
913,0.6216373443603516
844,0.7928323745727539
787,0.9344675540924072
689,1.0912272930145264
632,1.247551441192627
626,1.4036974906921387
610,1.5920865535736084
588,1.7501347064971924
572,1.8895246982574463
557,2.0465874671936035
531,2.2193603515625
522,2.3605008125305176
505,2.525191068649292
488,2.6819939613342285
479,2.829286575317383
466,3.001091957092285
454,3.1426520347595215
446,3.2838008403778076
439,3.4559881687164307
429,3.6173341274261475
423,3.73880672454834
417,3.8865456581115723
409,4.03675103187561
396,4.162248849868774
390,4.303393125534058
387,4.443737745285034
383,4.569243907928467
383,4.7103729248046875
380,4.852018594741821
379,5.010838270187378
378,5.145496606826782
372,5.286633014678955
368,5.428230285644531
361,5.556830644607544
359,5.697967529296875
357,5.824015378952026
355,5.965112924575806
353,6.119236707687378
351,6.26087212562561
342,6.3863866329193115
338,6.537234306335449
334,6.667967796325684
334,6.7934730052948
334,6.935067892074585
326,7.0741472244262695
326,7.226851224899292
324,7.358401298522949
322,7.483905792236328
320,7.627665281295776
320,7.765757322311401
319,7.906348943710327
317,8.047981262207031
316,8.18839693069458
315,8.329445362091064
315,8.454990863800049
313,8.5961332321167
312,8.730712652206421
311,8.862302303314209
311,9.003435850143433
311,9.145053148269653
311,9.284281492233276
309,9.425410270690918
309,9.567039251327515
308,9.693948745727539
307,9.83430814743042
306,9.974416732788086
306,10.099921226501465
304,10.243627071380615
304,10.365614652633667
296,10.506737232208252
295,10.648315668106079
290,10.786547660827637
281,10.914576053619385
281,11.056110858917236
280,11.197137355804443
280,11.353073120117188
280,11.509725570678711
280,11.65114426612854
280,11.807819843292236
280,11.948825120925903
279,12.10548734664917
276,12.24690556526184
276,12.401652336120605
276,12.543071746826172
275,12.699734210968018
275,12.841152667999268
275,12.981813907623291
275,13.139973402023315
275,13.27989935874939
274,13.406441688537598
274,13.545902252197266
273,13.702564001083374
273,13.84111762046814
272,13.985168695449829
271,14.126352548599243
270,14.283615827560425
270,14.442409992218018
