Room Capacity,Fifth Slot Usage,Double Acts,Single Gaps,Double Gaps,Triple Gaps,Total
1,20,145,49,12,0,783
1,15,127,25,0,0,767
0,15,162,21,0,0,709
10,10,138,15,6,0,700
9,10,202,29,0,0,700
1,10,155,48,18,0,670
9,5,176,31,0,0,659
0,25,150,27,3,0,654
9,5,189,39,12,0,652
0,15,136,44,0,0,652
