Room Capacity,Fifth Slot Usage,Double Acts,Single Gaps,Double Gaps,Triple Gaps,Total
9,10,138,20,3,0,180
0,15,80,17,0,0,112
24,5,151,6,0,0,186
0,5,127,16,3,0,151
1,15,123,2,0,0,141
0,15,115,19,0,0,149
1,15,98,7,3,0,124
0,10,128,1,0,0,139
0,20,146,13,0,0,179
9,20,114,18,0,0,161
