Room Capacity,Fifth Slot Usage,Double Acts,Single Gaps,Double Gaps,Triple Gaps,Total
1,15,145,46,6,0,213
16,15,167,32,0,0,230
15,10,180,31,0,0,236
0,20,177,15,0,0,212
38,15,132,25,0,0,210
2,15,190,28,0,0,235
18,20,183,34,3,0,258
47,20,180,31,0,0,278
7,15,188,31,0,0,241
2,15,200,23,0,0,240
